ID,Title,Content,Excerpt,"Parent Product ID",Sku,"Product Type","Категории товаров","Метки товаров"
84,"Штатное зеркало с видеорегистратором Prime-X 043D Full HD (на штатном креплении)","<p><strong>Зеркало-регистратор Prime-X 043D Full HD.</strong></p>
<p>Штатное зеркало с видеорегистратором Prime-X 043D - предназначено для замены заводского зеркала и имеет дополнительную функцию видеорегистратора. Качество исполнения такого зеркала ничем не отличается от заводских зеркал Toyota, Lexus, BMW и т.д.</p>
<p>После замены штатного зеркала на зеркало Prime-X 043D вы не заметите между ними никакой разницы, и получите функцию встроенного видеорегистратора прямо в зеркале.</p>
<p style=""text-align: center;""><a href=""http://prime-x.ua/primex/wp-content/uploads/2014/08/new043d_2.jpg""><img class=""aligncenter size-medium wp-image-252"" src=""http://prime-x.ua/primex/wp-content/uploads/2014/08/new043d_2-300x300.jpg"" alt=""new043d_2"" width=""300"" height=""300"" /></a></p>
<p>Преимущества видеорегистратора в зеркале Prime-X 043D:</p>
<ul style=""list-style-type: circle;"">
<li>Незаметный видеорегистратор (никто из окружающих не сможет его заметить).</li>
<li>Нет необходимости снимать видеорегистратор когда Вы выходите из автомобиля.</li>
<li>Именно на месте зеркала заднего вида, камера видеорегистратора направлена на дорогу под правильным углом обзора, только с этого ракурса Вы получите нужную видеозапись. Саму камеру можно подстроить повернув ее в нужном направлении.</li>
</ul>
<p>В зеркале Prime-X 043D расположено два видеовхода, один из которых используется камерой видеорегистратора, а второй может быть использован для камеры заднего, переднего вида или камеры внутри салона. Один из видеовходов имеет приоритет, например для камеры заднего вида. При подключении дополнительной камеры к зеркалу видеорегистратору - видео может транслироваться на монитор 4,3"", который расположен под зеркальным полотном. Монитор автоматически включится при подаче видеосигнала, и автоматически отключится при остановке видеосигнала, а запатентированная технология зеркального покрытия Prime-X поможет скрыть монитор за зеркальным полотном в выключенном режиме.</p>
<p><a href=""http://prime-x.ua/primex/wp-content/uploads/2015/01/101.jpg""><img class=""aligncenter size-medium wp-image-292"" src=""http://prime-x.ua/primex/wp-content/uploads/2015/01/101-300x300.jpg"" alt=""зеркало"" width=""300"" height=""300"" /></a></p>
<p>Так же, зеркало может работать в режиме записи с двух камер одновременно.</p>
<p>Управление видеорегистратором производится пультом дистанционного управления, или в ограниченном режиме с помощью кнопки на зеркале. Более детально Вы сможете изучить управление видеорегистратором в инструкции пользователя.</p>
<p><a href=""http://prime-x.ua/primex/wp-content/uploads/2014/08/new043d_3.jpg""><img class="" size-medium wp-image-254 aligncenter"" src=""http://prime-x.ua/primex/wp-content/uploads/2014/08/new043d_3-300x300.jpg"" alt=""new043d_3"" width=""300"" height=""300"" /></a></p>
<p>Камера видеорегистратора регулируется в любом направлении относительно зеркала, для этого необходимо повернуть камеру в нужную Вам сторону.</p>
<p><a href=""http://prime-x.ua/primex/wp-content/uploads/2014/08/newf043d_5.jpg""><img class=""aligncenter size-medium wp-image-263"" src=""http://prime-x.ua/primex/wp-content/uploads/2014/08/newf043d_5-300x300.jpg"" alt=""newf043d_5"" width=""300"" height=""300"" /></a> <a href=""http://prime-x.ua/primex/wp-content/uploads/2014/08/newf043d_6.jpg""><img class=""aligncenter size-medium wp-image-264"" src=""http://prime-x.ua/primex/wp-content/uploads/2014/08/newf043d_6-300x300.jpg"" alt=""newf043d_6"" width=""300"" height=""300"" /></a></p>
<p>Установка такого зеркала осуществляется путем замены вашего штатного крепления и займет всего лишь пару минут. Для этого достаточно снять ваше зеркало с креплением со стекла, и на оставшуюся металлическую накладку на вашем стекле - одеть зеркало Prime-X 043D, после чего необходимо выполнить подключение камеры заднего вида (и переднего) как показано на рисунке.</p>
<p><a href=""http://prime-x.ua/primex/wp-content/uploads/2014/08/043d_manual.jpg""><img class=""aligncenter size-medium wp-image-255"" src=""http://prime-x.ua/primex/wp-content/uploads/2014/08/043d_manual-300x213.jpg"" alt=""043d_manual"" width=""300"" height=""213"" /></a></p>
<p>&nbsp;</p>
<p><a href=""http://prime-x.ua/primex/wp-content/uploads/2014/08/newf043d_7.jpg""><img class=""aligncenter size-medium wp-image-256"" src=""http://prime-x.ua/primex/wp-content/uploads/2014/08/newf043d_7-300x300.jpg"" alt=""newf043d_7"" width=""300"" height=""300"" /></a></p>
<p>В случаях, если прокладка видео провода невозможна, в разделе ""аксессуары для камер"" можно приобрести беспроводной трансмиттер видео.</p>
<p>Зеркало имеет антибликовое покрытие, которое поможет сделать ""ослепляющее"" отображение ярких фар позади идущего автомобиля - более мягким и комфортным для глаз.</p>
<p><a href=""http://prime-x.ua/primex/wp-content/uploads/2014/08/101_2.jpg""><img class=""aligncenter size-medium wp-image-257"" src=""http://prime-x.ua/primex/wp-content/uploads/2014/08/101_2-300x300.jpg"" alt=""101_2"" width=""300"" height=""300"" /></a></p>
<p>Так же обращаем ваше внимание на то, что существуют подобные зеркала, в которых размер монитора всего лишь - 3,5"". Зеркала Prime-X укомплектованы мониторами размером 4,3"".</p>
<p><a href=""http://prime-x.ua/primex/wp-content/uploads/2014/08/101_6.jpg""><img class=""aligncenter size-medium wp-image-258"" src=""http://prime-x.ua/primex/wp-content/uploads/2014/08/101_6-300x300.jpg"" alt=""101_6"" width=""300"" height=""300"" /></a></p>
<p>В наличии - полный ассортимент креплений для всех марок автомобилей.</p>
<p>Характеристики:</p>
<p>параметры зеркала (монитора)</p>
<ul style=""list-style-type: square;"">
<li>размер (монитора) - 4,3'' (16:9);</li>
<li>размер зеркала – 28,0*8,0 см;</li>
<li>разрешение - 480*272;</li>
<li>стандарт – PAL/NTSC;</li>
<li>AV (CVBS) для подключения камеры заднего вида;</li>
<li>установка – вместо штатного зеркала;</li>
<li>температура использования – -20...+70;</li>
</ul>
<p>параметры видеорегистратора</p>
<ul style=""list-style-type: square;"">
<li>разрешение - Full HD, 1080P (1920x1080) 30 кадров/сек;</li>
<li>формат видео - Н.264;</li>
<li>микрофон - есть;</li>
<li>динамик - есть;</li>
<li>G-Sensor - есть;</li>
<li>детектор движения;</li>
<li>таймер отключения;</li>
<li>режим охраны;</li>
<li>выход USB - есть;</li>
<li>слот micro SD - есть;</li>
</ul>
<p>В комплект входит:</p>
<ul style=""list-style-type: disc;"">
<li>зеркало-регистратор</li>
<li>провода для подключения</li>
<li>штатное крепление</li>
<li>инструкция</li>
<li>упаковка</li>
</ul>","<p><strong>Зеркало-регистратор Prime-X 043D Full HD.</strong></p>
<p>Характеристики:</p>
<p>параметры зеркала</p>
<ul style=""list-style-type: square;"">
<li>размер (монитора) - 4,3'' (16:9);</li>
<li>размер зеркала – 28,0*8,0 см;</li>
<li>разрешение - 480*272;</li>
<li>стандарт – PAL/NTSC;</li>
<li>AV (CVBS) для подключения камеры заднего вида;</li>
<li>установка – вместо штатного зеркала;</li>
<li>температура использования – -20...+70;</li>
</ul>
<p>параметры видеорегистратора</p>
<ul style=""list-style-type: square;"">
<li>разрешение - Full HD, 1080P (1920x1080) 30 кадров/сек;</li>
<li>формат видео - Н.264;</li>
<li>G-Sensor - есть;</li>
<li>детектор движения;</li>
<li>таймер отключения;</li>
<li>режим охраны;</li>
</ul>",0,1310,simple,Зеркала>Зеркало-регистратор,
108,"Камера заднего/переднего вида Prime-X MCM-15 (серебристая)","<p>Камера заднего/переднего обзора с/без парковочных линий, для установки на любой автомобиль с железным корпусом.</p>
<ul>
<li>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>питание - 12В;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>передний/задний обзор;</li>
<li>включение/отключение парковочных линий;</li>
<li>PAL/NTSC;</li>
<li>рабочая температура - -30 +70;</li>
<li>длина провода питания - 120 см;</li>
<li>длина провода видео сигнала - 600 см;</li>
<li>размер в упаковке - 13*7*7 см;</li>
<li>вес в упаковке - 200 гр;</li>
</ul>
</li>
</ul>
<p>Универсальная камера заднего/переднего вида Prime-X MCM-15 предназначена для установки на любое транспортное средство как для заднего так и для переднего обзора. На камере установлен переключатель для трансляции переднего или заднего обзора.</p>
<p>Чаще всего, данную камеру используют для безопасной парковки. На камере предусмотрены парковочные линии, которые можно использовать как дополнительную разметку для парковки. Предоставлена возможность для пользователя включать или отключать парковочные линии переключателем на проводе (например для установки на передний обзор или в салон автомобиля).</p>
<p>Универсальность камеры позволяет использовать ее в любом месте на транспортном средстве, достаточно только переключить передний/задний обзор и включить или отключить парковочные линии.</p>
<p>Железный корпус камеры Prime-X MCM-15 позволяет использовать ее в любых погодных условиях, обеспечивая стабильную работу на протяжении всего срока эксплуатации.</p>
<p>Разрезав зеленый кабель - переключится передний/задний обзор. Разрезав белый кабель - отключатся парковочные линии.</p>
<p>В комплект входит:</p>
<ul>
<li>камера</li>
<li>провода для подключения</li>
<li>инструкция</li>
<li>упаковка</li>
</ul>","<p>Камера заднего вида, для установки на любой автомобиль с железным корпусом.</p>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>включение/отключение парковочных линий;</li>
<li>PAL/NTSC;</li>
</ul>",0,1301,simple,"Камеры>Универсальные камеры",
113,"AUDI A3 (2013-н.в.), A4 (2004-2007), A6 (1997-2011), А8 (2003-н.в.), Q7 (2005-н.в.). Номер ""Prime-X"" CA-9536","<ul>
<li>
<p>Камера заднего вида, штатная.</p>
<ul>
<li>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>парковочные линии;</li>
<li>PAL/NTSC;</li>
<li>рабочая температура - -30 +70;</li>
<li>длина провода питания - 120 см;</li>
<li>длина провода видео сигнала - 600 см;</li>
<li>размер в упаковке - 13*7*7 см;</li>
<li>вес в упаковке - 230 гр;</li>
</ul>
</li>
</ul>
</li>
</ul>
<p><strong><em>Данная камера совместима с такими моделями:</em></strong></p>
<p><span style=""color: #0000ff;""><strong>AUDI</strong></span><br />-A3 (2013-н.в.)<br />-A4 (2004-2007)<br />-A6 (1997-2011)<br />-А8 (2003-н.в.)<br />-Q7 (2005-н.в.)</p>
<p>Штатные камеры заднего вида Prime-X предназначены для установки на автомобиль без каких-либо изменений, в штатные места (как правило - на место фонаря подсветки номерного знака).</p>
<p>Штатные камеры Prime-X оснащены цветным сенсором SONY CCD с широким углом обзора. Чаще всего, данную камеру используют для безопасной парковки. На камере предусмотрены парковочные линии, которые можно использовать как дополнительную разметку для парковки.  </p>
<p>Камера начинает работать автоматически, при включении заднего хода.</p>
<p>В случаях несовместимости штатных камер с автомобилем - TM ""Prime-X"" предлагает ряд универсальных камер заднего вида, таких как ""камера в номерной рамке"", ""бабочка"" и так далее.</p>
<p>Камеры Prime-X адаптированы к отечественным погодным условиям. Просты в установке и эксплуатации.</p>
<p>В комплект входит:</p>
<ul style=""list-style-type: disc;"">
<li>камера</li>
<li>провода для подключения</li>
<li>инструкция</li>
<li>упаковка</li>
</ul>","<p><span style=""color: #ff0000;""><strong>5 ПРИЧИН ВЫБРАТЬ ИМЕННО ""PRIME-X"".</strong></span></p>
<ol>
<li><b>Парковка ночью:</b> камеры Prime-x могут работать при минимальной освещенности – 0,1 lux. К примеру лунная ночь – уже 0,3 lux., а свет лампы заднего хода – 30-40 lux.</li>
<li><b>Стеклянный объектив:</b> на камерах Prime-x установлен стеклянный объектив, который не будет царапаться, в отличии от пластикового.</li>
<li><b>Влагозащита:</b> IP68 – максимальный уровень (100% водонепроницаемость).</li>
<li><b>Сенсор (видеокамера):</b> Sony CCD.</li>
<li><b>Гарантия:</b> 2 года.</li>
</ol>",0,1321,simple,"Камеры>Штатные камеры (задние)",
154,"Камера заднего/переднего вида Prime-X MCM-15 (черная)","<ul>
<li>
<p>Камера заднего/переднего обзора с/без парковочных линий, для установки на любой автомобиль с железным корпусом.</p>
<ul>
<li>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>питание - 12В;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>передний/задний обзор;</li>
<li>включение/отключение парковочных линий;</li>
<li>PAL/NTSC;</li>
<li>рабочая температура - -30 +70;</li>
<li>длина провода питания - 120 см;</li>
<li>длина провода видео сигнала - 600 см;</li>
<li>размер в упаковке - 13*7*7 см;</li>
<li>вес в упаковке - 200 гр;</li>
</ul>
</li>
</ul>
<p>Универсальная камера заднего/переднего вида Prime-X MCM-15 предназначена для установки на любое транспортное средство как для заднего так и для переднего обзора. На камере установлен переключатель для трансляции переднего или заднего обзора.</p>
<p>Чаще всего, данную камеру используют для безопасной парковки. На камере предусмотрены парковочные линии, которые можно использовать как дополнительную разметку для парковки. Предоставлена возможность для пользователя включать или отключать парковочные линии переключателем на проводе (например для установки на передний обзор или в салон автомобиля).</p>
<p>Универсальность камеры позволяет использовать ее в любом месте на транспортном средстве, достаточно только переключить передний/задний обзор и включить или отключить парковочные линии.</p>
<p>Железный корпус камеры Prime-X MCM-15 позволяет использовать ее в любых погодных условиях, обеспечивая стабильную работу на протяжении всего срока эксплуатации.</p>
<p>Разрезав зеленый кабель - переключится передний/задний обзор. Разрезав белый кабель - отключатся парковочные линии.</p>
<p>В комплект входит:</p>
<ul style=""list-style-type: disc;"">
<li>камера</li>
<li>провода для подключения</li>
<li>инструкция</li>
<li>упаковка</li>
</ul>
</li>
</ul>","<p>Камера заднего вида, для установки на любой автомобиль с железным корпусом.</p>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>включение/отключение парковочных линий;</li>
<li>PAL/NTSC;</li>
</ul>",0,1302,simple,"Камеры>Универсальные камеры",
159,"Камера заднего/переднего вида Prime-X MCM-03 (бабочка)","<ul>
<li>
<p>Камера заднего/переднего обзора с/без парковочных линий, для установки на любой (бабочка).</p>
<ul>
<li>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>питание - 12В;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>передний/задний обзор;</li>
<li>включение/отключение парковочных линий;</li>
<li>PAL/NTSC;</li>
<li>рабочая температура - -30 +70;</li>
<li>длина провода питания - 120 см;</li>
<li>длина провода видео сигнала - 600 см;</li>
<li>размер в упаковке - 13*7*7 см;</li>
<li>вес в упаковке - 200 гр;</li>
</ul>
</li>
</ul>
<p>Универсальная камера заднего/переднего вида Prime-X MCM-03 предназначена для установки на любое транспортное средство как для заднего так и для переднего обзора. На камере установлен переключатель для трансляции переднего или заднего обзора.</p>
<p>Чаще всего, данную камеру используют для безопасной парковки. На камере предусмотрены парковочные линии, которые можно использовать как дополнительную разметку для парковки. Предоставлена возможность для пользователя включать или отключать парковочные линии переключателем на проводе (например для установки на передний обзор или в салон автомобиля).</p>
<p>Универсальность камеры позволяет использовать ее в любом месте на транспортном средстве, достаточно только переключить передний/задний обзор и включить или отключить парковочные линии.</p>
<p>&nbsp;</p>
<p>Железный корпус камеры Prime-X MCM-03 позволяет использовать ее в любых погодных условиях, обеспечивая стабильную работу на протяжении всего срока эксплуатации.</p>
<p>Разрезав зеленый кабель - переключится передний/задний обзор. Разрезав белый кабель - отключатся парковочные линии.</p>
<p>&nbsp;</p>
<p>В комплект входит:</p>
<ul style=""list-style-type: disc;"">
<li>камера</li>
<li>провода для подключения</li>
<li>инструкция</li>
<li>упаковка</li>
</ul>
</li>
</ul>
","<p>Камера заднего вида, для установки на любой автомобиль (бабочка).</p>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>парковочные линии;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>PAL/NTSC;</li>
</ul>
",0,1303,simple,"Камеры>Универсальные камеры",
162,"Камера заднего/переднего вида Prime-X T611","<ul>
<li>
<p>Камера заднего/переднего обзора, с/без парковочных линий, для установки на любой автомобиль.</p>
<ul>
<li>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>питание - 12В;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>передний/задний обзор;</li>
<li>включение/отключение парковочных линий;</li>
<li>PAL/NTSC;</li>
<li>рабочая температура - -30 +70;</li>
<li>длина провода питания - 120 см;</li>
<li>длина провода видео сигнала - 600 см;</li>
<li>размер в упаковке - 13*7*7 см;</li>
<li>вес в упаковке - 200 гр;</li>
</ul>
</li>
</ul>
<p>Универсальная камера заднего/переднего вида Prime-X T611 предназначена для установки на любое транспортное средство как для заднего так и для переднего обзора. На камере установлен переключатель для трансляции переднего или заднего обзора.</p>
<p>Чаще всего, данную камеру используют для безопасной парковки. На камере предусмотрены парковочные линии, которые можно использовать как дополнительную разметку для парковки. Предоставлена возможность для пользователя включать или отключать парковочные линии переключателем на проводе (например для установки на передний обзор или в салон автомобиля). </p>
<p>Универсальность камеры позволяет использовать ее в любом месте на транспортном средстве, достаточно только переключить передний/задний обзор и включить или отключить парковочные линии.</p>
<p>Крепление камеры позволяет менять угол ее наклона на транспортном средстве. Угол наклона можно отрегулировать после монтажа камеры.</p>
<p>Разрезав зеленый кабель - включатся парковочные линии. Разрезав белый кабель - переключится передний/задний обзор.</p>
<p>В комплект входит:</p>
<ul style=""list-style-type: disc;"">
<li>камера</li>
<li>провода для подключения</li>
<li>инструкция</li>
<li>упаковка</li>
</ul>
</li>
</ul>
","<p>Камера заднего/переднего вида, с/без парковочных линий.</p>
<p>Характеристики:</p>
<ul>
<li>сенсор - цветной, SONY CCD;</li>
<li>угол обзора - 170 градусов;</li>
<li>светочувствительность - 0,1 люкс;</li>
<li>разрешение - 728*582 / 728*512;</li>
<li>степень влагозащиты - IP68;</li>
<li>количество TV-линий - 520;</li>
<li>передний/задний обзор;</li>
<li>включение/отключение парковочных линий;</li>
<li>PAL/NTSC;</li>
</ul>
",0,1304,simple,"Камеры>Универсальные камеры",
177,"Product #176 Variation",,,176,,variable,,
178,"Product #176 Variation",,,176,,variable,,
179,"Product #176 Variation",,,176,,variable,,
226,"Вариант #226 для Лампа ксенон H1",,,225,,variable,,
